TAXON	Woody	Perennial	Plant height	Petiole length	Leaf length	Leaf width	"Leaf shape"	"Inflorescence type"	"Sepal number"	Sepal length	Sepal width	"Sepal color"	"Sepal shape"	"Petal number"	Petal length	Petal width	"Petal color"	"Petal shape"	Stamen number	Stamen length	Style length	Seed length	"Flowering time"	Habitat	Elevation	Name source	Special characters	Notes	High missing	Presence %
Crassula_vaillantii	1	1	<=15		0.2-0.4	0.1-0.2	linear	cymes	4	<=0.4			broadly triangular	4	<=2		pink	ovate-lanceolate	4				spring, summer	moist depressions		Original				0.695652174
Crassula_venezuelensis	1				0.45-0.5		narrowly triangular-lanceolate		4	1	0.8		triangular-ovate	4	1.4	0.7						0.43-0.63		aquatic at inland lakesides	3000-4500	Original				0.47826087
Crassula_volkensii	1	0,1		0.1	0.6-5	0.5-1.5	narrowly elliptic, elliptic, obovate, oblong-ovate, spatulate	cymes, solitary	4	<=3.5	<=0.5		oblong	4	5-6	2	white, pink	oblong-lanceolate		3-4	1	0.4		shady rocks	3000	Original				0.826086957
Cremnophila_linguifolia	1	0	<=100		4-9	1.5-5.5	cuneate-obovate, oblong, rounded	thyrses	5	4-12	1.5-5			5	6-11	2-4	white, greenish		10						1900	Original				0.652173913
Cremnophila_nutans	1	0	<=80		4-10	2-5.5	rhombic-obovate, oblanceolate	thyrses	5	3-7	1-2.5			5	4-7	2-3.5	yellow		10						1800-2300	Original				0.652173913
Cynomorium_coccineum	1	0	15-30				triangular-lanceolate	thyrses											1					saline habitat		Original				0.260869565
Cynomorium_songaricum	1	0			0.5-1.5 	0.5-1.2	ovate-deltoid	thyrses													2		spring, summer	Usually parasitic on the roots of Nitraria, Reaumuria, Salsola, and Tamarix shrubs, by lakes, bogs, streams, and rivers in deserts	500-700	Original				0.347826087
Daphniphyllum_angustifolium	0	0	100-200	0.7-2.5	4-9	1-2	narrowly oblong-obovate															8				Added from final tree				0.347826087
Daphniphyllum_borneense	0	0	200-900	1.5-3	5-10	2.5-4.2	narrowly elliptic, elliptic		5										6-8	1.5				Growing on flat ridges with low forest, stunted dense upper montane rainforest on granodiorite, on cliff faces, ericoid ridge top vegetation, slopes of mossy forest	1500-4000	Original				0.434782609
Daphniphyllum_calycinum	0	0	150-400	4-8	12-16	4-9	obovate, obovate-elliptic		3-4	1.5			broadly triangular						9, 10	3			spring, summer	Forests, thickets	(below 100-)200-700	Original				0.565217391
Daphniphyllum_glaucescens	0	0	600-1800	1-4.5	8-16	3-5	lanceolate, narrowly elliptic		4-5										8-10	0.6-1.5				Upper montane forest	1200-2600	Original				0.434782609
Daphniphyllum_gracile	0	0	<=2200	1-15	4-20	1.2-7.5	elliptic, narrowly elliptic, obovate		4-6	1-6		greenish, purple, purple-red, brown, greenish-cream	narrowly elliptic, linear, elliptic						5-8	0.2-1				Montane and subalpine forest, shrubland and grassland	1300-3300	Original				0.565217391
Daphniphyllum_himalayense	0	0	500-1200	0.2-0.5	10-21	2.5-7	oblong-lanceolate, oblong, oblong-elliptic		0										8-12					Forests	1200-2500	Original				0.391304348
Daphniphyllum_laurinum	0	0	<=2100	3-21	11-37	3.5-13	narrowly elliptic, lanceolate		3-5(-10)			greenish	broadly triangular, triangular						8-9	0.4				Low undulating hillsides, on summit of limestone hills with exposed porphyritic rocks, in secondary forest, in high jungle crests, alluvial riverbanks, flat land, mixed low-land forests	500-900	Original				0.52173913
Daphniphyllum_macropodum	0	0	300-1000(-2000)	0.3-0.6	14-25 	3-6.5	oblong, oblanceolate	axillary racemes	0-2	0.5			obtriangular						6-12	1			spring	Forests	600-1900	Original				0.608695652
Daphniphyllum_oldhamii	0	0	400-1500	2-3.5	9-14	2.5-4	lanceolate, obovate-lanceolate, oblong, oblong-lanceolate			0.5-1			triangular-ovate, lanceolate						7-10				spring	Forests	100-1400	Original				0.47826087
Daphniphyllum_parvifolium	0	0	100-200	7-25	4-9	1-2	narrowly oblong-obovate		0,2				depressed-triangular						5-10	0.5-0.9		8		Montane, on slopes and in mossy forest	1800	Original				0.52173913
Daphniphyllum_paxianum	0	0	300-800	1.5-3.5 	9-17	3-6	oblong, oblong-lanceolate		4-5	0.5-1.5			ovate						8-10				spring	Forests on mountain slopes or in valleys	400-2300	Original				0.52173913
Daphniphyllum_scortechinii	0	0	250-600		5-6	3-4	elliptic, obovate		4-5				ovate											Stunted dense upper montane rainforest	1500-1900	Original				0.347826087
Daphniphyllum_teijsmannii	0	0	<=1500	(2-)4-5	6-15		narrowly oblong, elliptic, oblanceolate	racemes	3-5	0.5			broadly ovate, narrowly ovate						4-10	0.5-1			spring, summer			Original				0.565217391
Darmera_peltata	1	0		 20-150		(5-)10-60(-90)	orbiculate, peltate	cymes	5	2.5-5		greenish, pinkish-purple	rounded to oblong	5	5-9	4-4.5	white, pink	broadly elliptic, obovate	10	4	1	1-1.5	spring, summer	Among wet rocks in and near streams	30-1800	Original				0.869565217
Diamorpha_smallii	1	1		0.7	1	0.1-0.3	spatulate	cymes	4	0.5-1			deltate	4	1.5-3.5	1-1.5	white, pink	lanceolate	8		0.5-0.8		spring	Thin gravel and sand of vernal pools on flat granitic and sandstone rocks, sandy flats	100-600	Original				0.782608696
Dicoryphe_stipulacea	0	0						corymbs	4					4					4							Original				0.260869565
Disanthus_cercidifolius	0	0	200-300	3-6	5-10	6-11	orbicular-cordate	axillary	5	2				5	6		red	linear-lanceolate	5				fall	Sunny rocky places		Original				0.695652174
Distyliopsis_dunnii	0	0	300-600	1-1.5	6-11	2-5	oblong, ovate-oblong, oblong-lanceolate	panicles	0					0					4-11	2-5.5	4-5	4-5	spring, summer	Montane evergreen forests	800-1500	Original				0.652173913
Distyliopsis_laurifolia	0	0	<=300	0.8-1	5-12 	2-4	ovate, narrowly ovate	panicles	0					0					1-12		4-5	6-7	spring, summer	Forests	1300-1500	Original				0.608695652
Distyliopsis_tutcheri	0	0	<=1200	0.3-0.5	3-6	2-4	elliptic, obovate	panicles	0					0								4-5	spring, summer	Mountains in evergreen forests	800-1000	Original				0.52173913
Distylium_lepidotum	0	0	200-400	0.4-1	1.5-4	1.3-2.5	broadly obovate-elliptic	racemes	3-5	1.5			ovate						4-5			7	fall, winter	Dry forests		Original				0.608695652
Distylium_myricoides	0	0		0.5-0.8	5-11	2-4	oblong, oblanceolate	panicles	0					0					1-8	<=2	6-8	6-7	spring	Montane evergreen forests	500-800	Original				0.608695652
Distylium_racemosum	0	0	800-1000(-2500)	2-4	3-7	1.5-3	obovate	racemes	3-6	2.5			triangular-ovate	0					5-8			5-8	spring	Evergreen forests		Original				0.652173913
Dudleya_abramsii	1	0	<=5		1-10	0.3-1.5	oblong, oblong-lanceolate	cymose	(4-)5	2-5	1.5-3		triangular-ovate, lanceolate	(4-)5	8-13	2-3	pale yellow	elliptic, narrowly lanceolate	10		0.5-1.5		spring, summer	on rocks	50-2600	Original				0.826086957
Dudleya_acuminata	1	0	7		2-10	1.5-3	ovate, triangular-lanceolate	cymose	(4-)5	3-5		green	triangular-ovate	(4-)5	10-14	2-2.5	yellow	oblanceolate	10		1-2		spring	mostly in coastal lowlands	0-600	Original				0.826086957
Dudleya_albiflora	1	0	<=30		2-6.25	0.5-1.5		cymose	(4-)5	3-6.5			triangular	(4-)5	11-15	1.5-3	white	oblong, oblanceolate	10		1.5-3		spring, summer			Original				0.739130435
Dudleya_anomala	1	0	<=50		2-5	0.4-0.6	oblanceolate	cymose	(4-)5	2-2.5			triangular, triangular-ovate	(4-)5	8-10	3.5-4	white	narrowly ovate	10		1.5-2		spring, summer	rock walls		Original				0.782608696
Dudleya_anthonyi	1	0	<=40-80		(7-)8-12(-25) 	3-7	oblong	cymose	(4-)5	4-5			triangular-lanceolate, triangular-linear	(4-)5	12-17		deep red		10				spring, summer			Original				0.652173913
Dudleya_attenuata	1	0	<=15		2-10	0.2-0.5	linear-oblanceolate	cymose	(4-)5	1-2.5			triangular-ovate, oblong-ovate	(4-)5	4-8	1.5-3	yellow	elliptic	10		2			near coasts		Original				0.739130435
Dudleya_blochmaniae	1	0	0.7-1.5(-3)		1-4(-7.5)	0.22-0.6(-0.8)	linear-oblanceolate, linear-spatulate	cymose	(4-)5	1.5-4			ovate, oblong-ovate	(4-)5	5-9(-12)		white	lanceolate	10				spring	open rocky slopes, often on serpentine or clay	5-450	Original				0.695652174
Dudleya_brevifolia	1	0	1.5-3.5		0.7-1.5	0.2-0.7	spatulate	cymose	(4-)5					(4-)5	5-9(-12)		white	lanceolate	10					sandstone terraces	0-250	Original				0.565217391
Dudleya_brittonii	1	0			7-11(-25) 	 (2.5-)4.5-5.5(-8.5)	linear-lanceolate, oblong-lanceolate	cymes	(4-)5			bright green	long-lanceolate	(4-)5	9		hyaline, whitish	linear-lanceolate	10		1-2			cliffs and hills near the coast	0-300	Original				0.652173913
Dudleya_candelabrum	1	0			5.5-17	3-7	obovate, oblong-oblanceolate	cymose	(4-)5	5-8			triangular-ovate	(4-)5	8-12	2.5-3.5	pale yellow	oblong	10					rocks, N slopes	0-380	Original				0.652173913
Dudleya_candida	1	0	6		5-11	1-3	triangular-oblong, oblong, oblanceolate	cymes	(4-)5	3-6			linear-lanceolate	(4-)5	8.5-13	2-3.5	pale yellow	oblong-lanceolate	10		1-2					Original				0.739130435
Dudleya_cymosa	1	0	<=5		(1.5-)4-17	1-6	oblong-oblanceolate, spatulate	cymes	(4-)5	1.5-5	1.5-4		triangular, triangular-ovate	(4-)5	7-15	2-4	yellow, orange, red	elliptic, narrowly lanceolate	10		1-2			rocks and slopes, more rarely shady canyons	100-2700	Original				0.782608696
Dudleya_densiflora	1	0	<=20		6-15	0.6-1.2	linear, cylindrical	cymose	(4-)5	1.5-2.5			triangular-ovate	(4-)5	5-10	2-3	white, rose	narrowly ovate	10		2-3		summer	steep granite canyon walls	300-520	Original				0.782608696
Dudleya_edulis	1	0			5-20(-40)	0.3-1	linear, cylindrical	cymes	(4-)5	2.5-4.5			oblong-ovate	(4-)5	7-10	2-3	white	oblong-lanceolate	10		1-2		spring, summer	rocky slopes	10-750(1300)	Original				0.739130435
Dudleya_farinosa	1	0			2.5-6	1-2.5	oblong-ovate	corymbs	(4-)5	3-7			triangular-ovate	(4-)5	10-14	3-5	pale yellow	oblanceolate	10		2			near coasts	0-150	Original				0.695652174
Dudleya_formosa	1	0	>=50		2-8	1-3	oblong, oblong-obovate	cymes, corymbs	(4-)5	1-2			triangular	(4-)5	1-1.5		white, rose-tinged	elliptic	10		2-2.5		spring, summer	N-exposed cliffs		Original				0.739130435
Dudleya_gnoma	1	0	0.5-2.6		(0.6-)0.9-2.5	0.5-1.3	triangular, triangular-ovate	cymose	(4-)5	3.5-4	2-3	red, greenish-yellow	triangular	(4-)5	8-9(-11)	3	pale yellow, bright yellow, orange	elliptic	10		2-3			dry volcanic soils	20-70	Original				0.826086957
Dudleya_greenei	1	0	7.5-15		3-11	1-3.5	oblong-oblanceolate, obovate	cymose	(4-)5	1.5-5			triangular	(4-)5	8-12	3-5	pale yellow, whitish	elliptic	10					coastal cliffs	0-150	Original				0.695652174
Dudleya_guadalupensis	1	0	>=10		2.5-6.5	0.8-1.3	oblong-oblanceolate	cymose	(4-)5	3-5			narrowly triangular-ovate	(4-)5	11-13	2-2.5	white	linear-lanceolate	10		3-4					Original				0.739130435
Dudleya_ingens	1	0	<=40		7-25	1-5.5	oblong	cymose	(4-)5	4-6			triangular	(4-)5	10-15	2-3	pale yellow, white	oblong	10		1.5-2		spring		0-1000	Original				0.782608696
Dudleya_linearis	1	0			2.5-6	0.5-1	oblong, oblong-oblanceolate	cymose	(4-)5	2.5-4			triangular-lanceolate	(4-)5	7-12	2.5	yellow		10		3		spring			Original				0.695652174
Dudleya_multicaulis	1	0	1.3-5		3-15	0.15-0.6	linear, cylindrical	cymose	(4-)5	2-4			triangular-ovate, linear-oblong	(4-)5	5-9	2-3	yellow	elliptic-lanceolate	10		1.5-2		spring, summer	coastal flats, rock and steep slopes, often loamy soils	10-600(-1200)	Original				0.782608696
Dudleya_nesiotica	1	0	1-2(-3)		2.5-3.5(-5)	0.5-1.5(-2.5)	oblanceolate, spatulate	cymose	(4-)5	3-4			triangular-ovate	(4-)5	7-14	3.5-5.5	white	elliptic	10		1.5-3			coastal rocks	0-50	Original				0.739130435
Dudleya_pachyphytum	1	0	>= 40		5-10(-13)	3-5(-7)	ovate, oblong	cymose	(4-)5	4-7	2.5-4			(4-)5		2-3	white	elliptic- oblong	10		1.2-2				450	Original				0.695652174
Dudleya_parva	1	0	3-5		1.5-4	0.3-0.6	linear, oblanceolate	cymose	(4-)5	3-5	3-5			(4-)5	8-12	2-3.5	pale yellow	elliptic-oblong	10		2-3		spring, summer	loamy grassland	60-450	Original				0.782608696
Dudleya_pulverulenta	1	0			8-25(-27)	3-10	oblong	cymose	(4-)5				triangular, triangular-ovate	(4-)5	11-19		deep red		10				summer, fall	cliffs, canyons and slopes	0-1500	Original				0.565217391
Dudleya_saxosa	1	0			3-9	0.5-1.5	oblong, oblong-lanceolate	cymes	(4-)5	2.5-6			triangular	(4-)5	9-12	2.5-4	bright yellow	oblong-lanceolate, oblong-oblanceolate	10		1-1.5		spring, summer	N-exposed granite, limestone slopes	1100-2200	Original				0.739130435
Dudleya_stolonifera	1	0	>=10		3-7	1.5-3	oblong-obovate	cymose	(4-)5	2-3			triangular	(4-)5	10-11	3-3.5	bright yellow	elliptic	10		1.5-2		spring, summer	N-exposed cliffs, rocky places	0-250	Original				0.782608696
Dudleya_traskiae	1	0			4-14	1-4	oblong-oblanceolate	cymose	(4-)5	2.5-4			triangular, triangular-ovate	(4-)5	8-10.5	3-4	bright yellow	narrowly ovate	10		2.5		spring, summer	steep slopes	0-110	Original				0.739130435
Dudleya_variegata	1	0	1-3		1-7	0.3-1.1	oblanceolate, spatulate	cymose	(4-)5	2-3(-7)		green, yellowish	triangular-ovate, oblong-ovate	(4-)5	5-7	2.5-3.5	pale yellow, deep yellow	elliptic-lanceolate	10		2		spring	dry hills, mesas	0-300	Original				0.826086957
Dudleya_verityi	1	0	2-10		2-5	0.4-0.8	oblong-lanceolate	cymose	(4-)5	3-5	2-2.5		triangular	(4-)5	10-14	2.5-4	lemon-yellow	oblong-lanceolate	10		1-2		spring, summer	N-exposed volcanic rocks	60-120	Original				0.826086957
Dudleya_virens	1	0	>=100		5-10(-15)	1-1.5	triangular-lanceolate, linear-lanceolate	cymes	(4-)5				triangular-ovate	(4-)5	7-11	2-3.5	white, pink	triangular-ovate, elliptic-oblong	10		2-4		spring, summer	rock cliffs and slopes	0-400	Original				0.739130435
Dudleya_viscida	1	0			6-15	0.2-1.5	linear-triangular	cymose	(4-)5	1.5-4			triangular-ovate, oblong-ovate	(4-)5	6-9	2.5-3.5	white	elliptic-oblong	10		2.5-4		spring, summer	rocky slopes and cliffs near the sea	0-450	Original				0.739130435
Echeveria_amoena	1	0	<=5		1-2	0.7-1.5	obovate-spatulate	cymose-paniculate	5	<=3				5			salmon-orange									Original				0.47826087
Echeveria_australis	1	0	<=30		7	>=2	narrowly obovate-cuneate	racemes	5	8-12				5			red							mostly epiphytic		Original				0.47826087
Echeveria_bifida	1	0	<=6		4-10	1-2.5	lanceolate, rhomboid-oblanceolate	cymes	5	15			subterete, terete	5			reddish, yellowish									Original				0.52173913
Echeveria_bifurcata	1	0	<=6		4-10	1-2.5	lanceolate, rhomboid-oblanceolate	cymes	5	15			subterete, terete	5			reddish-or yellowish									Original				0.52173913
Echeveria_cante	1	0	<=10		18.5	7.2	oblong-obovate	cymose-paniculate	5	10-15				5			orange- pink									Original				0.47826087
Echeveria_chihuahuaensis	1	0	<=5		4-6	3-4	obovate-oblong, obovate-spatulate, oblong	cymes	5	8				5			reddish									Original				0.47826087
Echeveria_coccinea	1	0	<=60		3-13	2-4	oblanceolate, obovate-spatulate	spikes	5	13-15				5			scarlet									Original				0.47826087
Echeveria_colorata	1	0	<=8		5-9	3-5	ovate, obovate	cymes	5	1-4				5			reddish, orange, yellow									Original				0.47826087
Echeveria_fulgens	1	0	<=15		8-15	4-7	obovate-spatulate	cymose-paniculate	5	10				5												Original				0.434782609
Echeveria_gibbiflora	1	0	<=30		>=25	15	broadly obovate-orbicular	cymose-paniculate	5	11				5			glaucous-pink									Original				0.47826087
Echeveria_grisea	1	0	<=10		10-15	5-8	widely obovate-spatulate	cymose-paniculate	5	7				5			pinkish									Original				0.47826087
Echeveria_juarezensis	1	0	<=10		5-8	3-5	obovate-cuneate	cymes	5	11				5			scarlet									Original				0.47826087
Echeveria_longissima	1	0	<=5		6	3	broadly obovate-cuneate	cymes	5	8			ovate-deltoid, oblong-lanceolate	5			orange	narrowly oblong	10	25						Original				0.652173913
Echeveria_megacalyx	1	0	<=5 		3-10	2-3	oblong-spatulate	racemes	5	8-10	6		obovate-ellliptic	5			dull greenish-yellow									Original				0.565217391
Echeveria_montana	1	0	<=50		7	4	obovate	spicate	5	12				5			reddish, yellow									Original				0.47826087
Echeveria_nodulosa	1	0	<=20		5	1.5	obovate-cuneate	racemose	5					5			rose, yellowish									Original				0.434782609
Echeveria_nuda	1	0	<=50		2.5-5	1.8-3	obovate	racemes	5	6-12				5			red, yellow									Original				0.47826087
Echeveria_potosina	1	0			3-7.5	1-3.5	oblong-obovate, obovate-cuneate	cymes	5	5-10				5			rose, pink									Original				0.434782609
Echeveria_pringlei	1	0	20-30		2-3(-4)	 1 - 1.5(-2)	oblanceolate, rhomboid-obovate	racemose	5	14		green		5			orange-red, scarlet									Original				0.52173913
Echeveria_prolifica	1	0	<=3		2-4	1-1.6	obovate-cuneate	cymose	5					5			yellow									Original				0.434782609
Echeveria_pulvinata	1	0	<=10		3.5-7 	2-3.5	obovate	spicate, racemose, subpaniculate	5	<=8-12				5												Original				0.434782609
Echeveria_purpusorum	1	0	5-8		3-3.5	2-2.5	ovate	cymes	5					5			red									Original				0.434782609
Echeveria_racemosa	1	0	<=5		5-10	1.5-2.5	narrowly oblong-oblanceolate	racemes	5	<=5				5			bright red							warm damp regions, it often grows epiphytically or on walls and roofs.		Original				0.47826087
Echeveria_recurvata	1	0	0-15		4-5(-9)	1.5-2.5	ovate, lanceolate, oblanceolate	racemose	5					5			yellow, orange, reddish									Original				0.434782609
Echeveria_rosea	1	0	10-60		3.5-9	1.5-2.5	elliptic-oblong, oblanceolate, spatulate	spikes, racemes	5	9-13		deep red, pink	narrowly elongate	5			light yellow							usually epiphytic in cloud forests, cool damp forests		Original				0.565217391
Echeveria_setosa	1	0	<=10		(2.5-)4-7	0.8-2	oblanceolate-spatulate	cymes	5					5			orange-reddish, yellow									Original				0.434782609
Echeveria_simulans	1	0			7	4	obovate	cymes	5					5			rose-pink, yellowish									Original				0.391304348
Echeveria_strictiflora	1	0	<=3		3-9	1.5-3	oblanceolate-rhombic	racemose	5	9-13				5			yellowish-red									Original				0.47826087
Echeveria_venezuelensis	1	0	<=50		7	2.5	oblanceolate, spatulate	racemes	5	8		green		5			reddish-yellow									Original				0.52173913
Elmera_racemosa	1	0	10-35	2-10	1-3		orbiculate, broadly reniform	racemes	5	1-4		greenish-yellow	triangular, oblong	5	3-5		white, cream	narrowly lanceolate, linear	5		1-2.5		summer	Rocky ledges, cliffs, alpine open slopes, talus slopes	1500-2800	Original				0.782608696
Eustigma_balansae	0	0	<=1600	0.6-1.2	10-16	4-6	elliptic, oblong	racemose	5	1.8-2				5	1.2-1.5		yellow		5		6-8	7-8	spring	Forests	400-500	Original				0.739130435
Eustigma_oblongifolium	0	0		0.5-1	7-17	3-6	oblong, oblong-lanceolate	racemose	5	2.5-3			ovate	5			yellow	obovate	5		8-12	8-10	spring, summer	Forests	100-200	Original				0.739130435
Exbucklandia_longipetala	0	0		3-5	8-12	6-10	broadly ovate	capitate						2-5	10-12	1-1.5	white	linear	10-11	5-6	2		spring, summer	Montane evergreen forests	1500	Original				0.695652174
Exbucklandia_populnea	0	0	1600-2000(-3000)	3-6	10-17	9-13	broadly ovate-rounded	capitate, racemes	0					0, 2-3	2-3	0.3-0.5		linear	10-15	5	3-4	9	spring, summer	Slopes in evergreen forests	1200-2300	Original				0.782608696
Exbucklandia_tonkinensis	0	0	<=3000	3-5	8-13	5-9	broadly ovate	capitate, racemes						0					13	8	4-5	8-10	spring, summer	Slopes and valleys in evergreen forests	800-1500	Original				0.608695652
Fortunearia_sinensis	0	0	<=500	0.4-1	7-16	4-10	obovate, obovate-elliptic	racemose	5	1.2-1.5			lanceolate	5				narrowly lanceolate	5		1.5-2.5	8-10	spring	Forests	800-1000	Original				0.739130435
Fothergilla_gardenii	0	0		0.3-0.8(-1.2)	1.9-6	1.3-4.5	elliptic-oblong, obovate, orbiculate	spikes						0					12-24			4-6	spring	Sandy pine woods, sphagnum swamps and bogs, Atlantic and Gulf coastal plains	0-185	Original				0.47826087
Fothergilla_major	0	0		0.3-1(-1.8)	 2.5-13.5	4.2-12.5	broadly elliptic, orbiculate, obovate	spikes						0					(10-)22-34			 5-6(-8)	spring	Bluffs, dry rocky woodlands, talus slopes, riverbanks, upper piedmont to mountains	150-1300	Original				0.47826087
Glischrocaryon_aureum	1	0	25-75	0	0.6-6		linear, narrowly lanceolate	cymes	4	0.6-0.9			deltoid	4	2-4				8		0.8-1					Original				0.608695652
Glischrocaryon_behrii	1	0	30-50	0	1.5-2.5		terete, linear, narrowly lanceolate	cymes	2	7-10			deltoid	2	35-40				4		0.5-0.7					Original				0.608695652
Glischrocaryon_flavescens	1	0	75-90	0	2-3		linear, narrowly lanceolate	cymes	4	0.6-0.7			deltoid	4	3.4-3.9			navicular	8		0.9-1					Original				0.652173913
Glischrocaryon_roei	1	0	30-40	0	1		linear	cymes	4	0.3-0.6			deltoid	4	2.2-2.4			navicular	8		1.2-1.4					Original				0.652173913
Gonocarpus_acanthocarpus	0,1		30-45	0.2-0.3	2.5-3		ovate, narrowly ovate		4	0.5-0.6		red, green	oblong	4	2.3-2.6		dark red		8							Original				0.565217391
Gonocarpus_aggregatus	0				(0.2-)0.5(-1.5)		ovate	solitary					triangular		2		reddish		8							Original				0.347826087
Gonocarpus_benthamii	0,1		25-70	0	0.7-1.7		ovate, orbicular		4	0.4-0.7		red, green	ovate	4	2.2-2.7		dark red		8							Original				0.565217391
Gonocarpus_chinensis	1	0	20-45	0	1-2.8	0.1-0.9	linear-lanceolate, oblong, linear	spikes	4	0.6-0.9 	0.4-0.5	green	triangular	4	1-1.5 	0.3-0.5	yellow, reddish		8	1	0.1-0.3		spring, summer, fall	Open grasslands, waste land, river banks, deforested slopes	100-800(-1500)	Original				0.913043478
Gonocarpus_cordiger	0,1	0	30-45	0	1.5-3.5		linear, terete		4	1.3-2.4		green	cordate	4	2.4-2.5		yellow-green		8							Original				0.608695652
Gonocarpus_elatus	0,1	0	18-35	0	1.8-3		linear-lanceolate, ovate		4	0.6-0.8		green	deltoid	4	2.1-2.7		reddish-brown		8					dry rocky hillsides		Original				0.608695652
Gonocarpus_ephemerus	1	1	8-15	0.2-0.3	0.8-1.1		ovate		4	0.5			ovate	4	1.6		yellow, red		8	1.3						Original				0.608695652
Gonocarpus_eremophilus	1	0	25-35	<=0.2	0.8-1.5				4	0.6-0.7		green	deltoid	4	2-2.7		pink		8							Original				0.565217391
Gonocarpus_humilis	1	0	30-70	0.1-0.2	1.1-1.8		ovate		4	0.6		green	deltoid	4	0.8-1.5		yellow-green		4							Original				0.608695652
Gonocarpus_intricatus	1		17-30	0	1-1.3		ovate, narrowly ovate		4	0.5-0.6			cordate	4	1.4-1.6		yellowish-red		8							Original				0.52173913
Gonocarpus_leptothecus	0,1		40-60	0.1-0.3	2.5-3		oblong, elliptic		4	0.6-0.9			oblong, deltoid	4	2.3-3.4		green, red		8							Original				0.52173913
Gonocarpus_longifolius	0		35-100	0.1-0.2	1.5-2.5		linear-oblong		4	0.4-0.5		green	oblong	4	1.6-2.2		greenish		8							Original				0.565217391
Gonocarpus_mezianus	1	0	20-30	0	0.7-1.7		broadly ovate, cordate		4	0.5-0.8		reddish-green	deltoid, subcordate	4	2-3.1		red		8							Original				0.608695652
Gonocarpus_micranthus	1	0	5-15(-45)	0.05-0.2	0.6-1.7	0.4-0.8	ovate-cordate, elliptic	spikes	4	0.5		green	deltoid	4	0.8-1.2		reddish		8	1	0.8		spring, summer	Wet or boggy places, either in open or grassy situations	100-1800	Original				0.826086957
Gonocarpus_montanus	1	0	10-15	0.1-0.3	0.35-0.6		ovate, ovate-lanceolate		4	0.9-1			deltoid	4	1.5-1.8				4							Original				0.52173913
Gonocarpus_nodulosus	1	1	5-15	0	0.3-0.6		lanceolate, oblanceolate, obovate		4	0.3-0.5		green	deltoid	4	0.6-1.2		deep red		4							Original				0.608695652
Gonocarpus_oreophilus	0		50-150	0.3-0.5	1-3.5		ovate, oblong		4	0.6-0.7		green	lanceolate, ovate	4	2.3-3.1		red, yellow		8							Original				0.565217391
Gonocarpus_paniculatus	1		40-65	0	2-5		terete, linear		4	0.5-0.7		green	ovate	4	1.3-2		red, green		8							Original				0.565217391
Gonocarpus_pusillus	1	1	<=5	0	0.7-0.8		linear, linear-lanceolate		4	0.3			deltoid	4	0.9-1		yellow, reddish		8							Original				0.565217391
Gonocarpus_salsoloides	1	0	15-40	0	0.6-1.5		linear, terete		4	0.6-0.9		green, reddish	lanceolate-deltoid	4	2.5-2.8		red-brown, yellowish		8							Original				0.608695652
Gonocarpus_scordioides	1	0	10-50	0.2-0.4	1.7-2.5		ovate, oblong		4	0.9-1			narrowly ovate	4	2.8-3.4		reddish		8							Original				0.565217391
Gonocarpus_tetragynus	1	0	15-30	0.05-0.1	0.6-1.2		lanceolate		4	0.5-0.7		green	deltoid	4	2.4-2.8		green, red		8							Original				0.608695652
Gonocarpus_teucrioides	1	0	20-35	0.1-0.2	0.7-1.5		ovate		4	0.6-0.7			deltoid	4	2.6-3.3		green, red		8							Original				0.565217391
Gonocarpus_trichostachyus	1	0	<=17	0	0.7-1		oblanceolate		4	0.4-0.5		reddish-green	ovate, orbicular	4	0.9-1.1		deep reddish-purple		8							Original				0.608695652
Gonocarpus_urceolatus	1		<=30	0	1.5-2.2		ovate		4	1		green	lanceolate	4	2.5		green, deep red		8	1.8						Original				0.608695652
Graptopetalum_amethystinum	1	0	<=30		3-7	2.5-4	obovate	thyrses	5	2.5-4	1.5-3		ovate	5	10-11		pale whitish-yellow, pale yellow		10		1	0.6-0.7			1950	Original				0.739130435
Graptopetalum_bartramii	1	0			2.5-6.25		ovate, broadly spatulate	racemes, thyrses	5	5			narrowly triangular, oblong-lanceolate	5	8-15		whitish	narrow	10			0.6-0.7		rocky places	1200-2000	Original				0.608695652
Graptopetalum_bellum	1	0			2-3.5	1.5-2.8	obovate, cuneate	thyrses	(4-)5	6-11	2-4	pale green	elliptic, oblong	(4-)5			deep rose-coloured	elliptic	(8-)10		2.5-4.5	0.6-0.7		E-exposed rocks	1600	Original				0.739130435
Graptopetalum_filiferum	1	0			2-3	0.8-1.2		thyrses	5-6(-7)	4-5		reddish-green	obovate	5-6(-7)	10-12		white	lanceolate	10-12(-14)			0.6-0.7		on rocks	2150	Original				0.652173913
Graptopetalum_fruticosum	1	0	<=40		2-4	0.8-2	spatulate, rhombic-spatulate	thyrses	5(-6)	2-4.5	1-1.5		triangular, oblong	5(-6)	7-9	2-3	pale yellow, yellowish-white	triangular-lanceolate	10(-11)		0.6 - 0.7	0.6-0.7		on rocks	1050-1200	Original				0.826086957
Graptopetalum_grande	1	0	<=30(-200)		5-8.5	3.5	broadly spatulate	thyrses	5	2.5-3			linear	5	11		sulphur-yellow, pale green	lanceolate	10		1	0.6-0.7		partly shaded rocks and cliffs	1500-2000	Original				0.739130435
