TAXON	Woody	Perennial	Plant height	Petiole length	Leaf length	Leaf width	"Leaf shape"	"Inflorescence type"	"Sepal number"	Sepal length	Sepal width	"Sepal color"	"Sepal shape"	"Petal number"	Petal length	Petal width	"Petal color"	"Petal shape"	Stamen number	Stamen length	Style length	Seed length	"Flowering time"	Habitat	Elevation	Name source	Special characters	Notes	High missing	Presence %
Adromischus_marianiae	1	0	<=12		4-8	1.3-2.2	linear-elliptic, linear-lanceolate	cymes	5				triangular	5	<=3			triangular-lanceolate	10				summer	Succulent Karoo		Original				0.608695652
Adromischus_maximus	1	0	<=30		6-13	2.5-4.5	oblanceolate, obovate	cymes	5	1-2	1-2	grey	triangular	5	5	2	white, pinkish	lanceolate	10				summer	Succulent Karoo		Original				0.826086957
Adromischus_montium-klinghardtii	1	0	<=16		2.5-3	1-1.8	obovate, ovate, suborbicular	cymes	5	<=2.5			triangular	5	1-2		white, pinkish	broadly triangular	10				summer	Succulent Karoo		Original				0.695652174
Adromischus_nanus	1	0	<=4.5		0.6-1.3	0.6-1	obovate, broadly obovate	cymes	5	1.3			triangular-lanceolate	5	3	2.5		ovate-triangular	10				summer	Nama Karoo, rock crevices		Original				0.695652174
Adromischus_phillipsiae	1	0	<=5		1.5-4.5	0.4-1.3	linear-oblanceolate, elliptic	cymes	5	3-5			triangular	5	3-5		reddish	triangular-ovate	10				summer	Nama Karoo, escarpment mountains		Original				0.695652174
Adromischus_roaneanus	1	0	<=20		2.5-5	1.3-3	oblanceolate, obovate	cymes	5	<=2			triangular	5	<=3		white, pinkish	broadly triangular	10				summer	Succulent Karoo		Original				0.695652174
Adromischus_schuldtianus	1	0	<=7		1-4	0.4-1.5	oblanceolate, obovate, orbicular	cymes	5	<=3			triangular	5	<=2.5		white, pinkish	triangular-ovate	10				summer	Nama Karoo		Original				0.695652174
Adromischus_sphenophyllus	1	0	<=20		5.5-9.5	2.5-4.5	oblanceolate, obovate	cymes	5	3	1.75	glaucous	triangular	5			white, purplish	lorate-lanceolate	10				summer	Noorsveld, Valley Bushveld		Original				0.739130435
Adromischus_subviridis	1	0	<=15		3.5-7	2.8-3.8	oblanceolate, obovate	cymes	5	2-3			triangular	5	3-4		pale yellow, pinkish	lanceolate-triangular	10				summer	Succulent Karoo		Original				0.695652174
Adromischus_triflorus	1	0	<=12		2-4.5	1.2-4	obtriangular, obovate, obovate-clavate	cymes	5	1.5-2			triangular	5	3-5			lanceolate-triangular	10				summer	Succulent Karoo		Original				0.652173913
Adromischus_trigynus	1	0	<=4.5		1.5-3	1.5-2.9	obovate, oblanceolate, orbicular	cymes	5	<=3			triangular	5	<=2.4		white, pinkish	ovate	10				summer	Nama Karoo		Original				0.695652174
Adromischus_umbraticola	1	0	<=12		1-7	0.5-2.1	linear-oblanceolate, clavate-obovate	cymes	5	<=3			triangular	5	<=2.5		white, pinkish	triangular-ovate	10				summer	Bushveld		Original				0.695652174
Aeonium_aizoon	1	0			2-3.5	1-1.5	oblong-spatulate	corymbs	17-21					17-21	6-7	1-1.5	deep yellow	obovate	34-42						600-1600	Original				0.565217391
Aeonium_arboreum	1	0	50-80		5-15	1-4.5	obovate, oblanceolate	cymes	9-11					9-11	5-7	1.5-2	yellow	narrowly oblong, lanceolate	18-22				spring	 Cliffs and banks near sea	200-1200	Original				0.652173913
Aeonium_aureum	1	0			5-11	3-6	obovate-spatulate	corymbs	25-32					25-32	7-8	1.5-2	deep yellow	oblanceolate	50-64						400-2000	Original				0.565217391
Aeonium_balsamiferum	1	0	<=150		3-7	1.5-3.5	obtrullate, obtrullate-spatulate	cymes	7-8					7-8	6-8	1.2-1.5	yellow	lanceolate	14-16							Original				0.608695652
Aeonium_canariense	1	0			6-35	3-12	oblanceolate, obovate	cymes	8-10					8-10	7-9	1.5-2	whitish-green	narrowly elliptic	16-20						600-1300	Original				0.565217391
Aeonium_castello-paivae	1	0	<=70		1.5-3.5	0.8-2	obovate-spatulate	cymes	7-9					7-9	8-10	1-1.5	greenish-white	lanceolate	14-18						200-900	Original				0.608695652
Aeonium_ciliatum	1	0	<=100		4-12	2-5	obovate-spatulate	cymes	7-9					7-9	7-10	1.2-2	whitish	lanceolate	14-18						200-1000	Original				0.608695652
Aeonium_cuneatum	1	0			10-25	5-8	obovate, obovate-spatulate	cymes	8-9					8-9	6.5-7.5	1.3-1.6	yellow	oblanceolate	16-18					laurel forest region in fairly humid habitats	500-950	Original				0.565217391
Aeonium_davidbramwellii	1	0	<=100		3-12	2-4	obovate, obovate-spatulate	cymes	6-8					6-8	6.5-9	1.5-2.5	whitish	lanceolate	12-16						1000	Original				0.608695652
Aeonium_decorum	1	0	<=60		2.5-5	1-1.5	oblanceolate, obovate	cymes	6-8					6-8	7-8	2-2.5	whitish	lanceolate	12-16						100-900	Original				0.608695652
Aeonium_diplocyclum	1	0			5-8	4-6.5	obovate-spatulate	corymbs	19-24					19-24	5-6	1-1.5	deep yellow	lanceolate	38-48						50-1700	Original				0.565217391
Aeonium_dodrantale	1	0	2-8		2-3.5	1-1.5	obovate-spatulate	corymbs	18-23					18-23	6-7	1-1.5	deep yellow	oblanceolate	36-46						150-1200	Original				0.608695652
Aeonium_glandulosum	1	0			6-11	3-8	oblanceolate, obovate	cymes	8-13					8-13	7-11	3-4	pale yellow	lanceolate	16-26						1500	Original				0.565217391
Aeonium_glutinosum	1	0			7-12	3-5.5	obovate-spatulate	cymes	8-10					8-10	5-7	2-3	yellow	ovate, lanceolate	16-20						<=300(-1700)	Original				0.565217391
Aeonium_gomerense	1	0	<=200		5-14	2.5-4	oblanceolate, obovate	cymes	7-9					7-9	8-10	1.5-2	whitish	lanceolate	14-18						500-1100	Original				0.608695652
Aeonium_goochiae	1	0	<=40		1.5-5	1.5-2.5	elliptic, circular	cymose panicles	7-8					7-8	5-7	1-2	pale yellow, whitish	oblanceolate	14-16						100-700	Original				0.608695652
Aeonium_gorgoneum	1	0	<=200		5-10	1.5-3	oblanceolate-spatulate	cymes	8-10					8-10	5-6	1-1.5	yellow	lanceolate	16-20						300-1300	Original				0.608695652
Aeonium_haworthii	1	0	<=60		3-5.5	1.5-3	obovate	cymes	7-9					7-9	7-9	1.2-1.8	pale yellow, whitish	lanceolate	14-18				spring	North-facing cliffs in canyons and above sea	1000	Original				0.652173913
Aeonium_hierrense	1	0	<=150		8-30	5-8	obovate, oblanceolate	cymes	6-9					6-9	7-9	1.5-2	whitish	lanceolate	12-18						1200	Original				0.608695652
Aeonium_holochrysum	1	0	<=200		5-15	1.4-5	obovate, oblanceolate	cymes	9-11					9-11	5-7	1.5-2	yellow	narrowly oblong, lanceolate	18-22				spring	 Cliffs and banks near sea	1500	Original				0.652173913
Aeonium_korneliuslemsii	1	0	<=150		4-9	2-3	obovate, obovate-spatulate	cymes	7-9					7-9	4.5-6	1.5-2.5	yellow	elliptic	14-18							Original				0.608695652
Aeonium_lancerottense	1	0	<=60		5-9	1.5-4	obovate-spatulate, oblanceolate-spatulate	cymes	7-8					7-8	6-9	1-1.5	whitish	lanceolate	14-16						200-600	Original				0.608695652
Aeonium_leucoblepharum	1	0	<=200		5-12	1.5-3.5	obovate-spatulate, oblanceolate-spatulate	cymes	7-10					7-10	6-8	1.8-2.5	yellow	elliptic, lanceolate	14-20						200-3500	Original				0.608695652
Aeonium_lindleyi	1	0	<=50		2-4.5	0.6-1.6	obovate, obovate-spatulate	cymose panicles	8-9					8-9	5-7	1.5-2	yellow	elliptic, lanceolate	16-18						200-500(-1000)	Original				0.608695652
Aeonium_manriqueorum	1	0	<=200		5-15	1.4-5	obovate, oblanceolate	cymes	9-11					9-11	5-7	1.5-2	yellow	narrowly oblong, lanceolate	18-22				spring	 Cliffs and banks near sea	200-1200	Original				0.652173913
Aeonium_nobile	1	0			7-50	4-30	obovate	corymbs, cymes	7-9					7-9	3-5	1-1.5	whitish	lanceolate	14-18						750	Original				0.565217391
Aeonium_palmense	1	0			6-35	3-12	obovate, oblanceolate	cymes	8-10					8-10	7-10	2-3	yellowish-green	lanceolate	16-20						1200	Original				0.565217391
Aeonium_percarneum	1	0	<=100		4.5-10	2-4	obovate-spatulate, oblanceolate-spatulate	cymes	8-10					8-10	7-8	1.2-1.8	whitish	lanceolate	16-20						100-1300	Original				0.608695652
Aeonium_rubrolineatum	1	0	<=200		5-15	1.4-5	obovate, oblanceolate	cymes	9-11					9-11	5-7	1.5-2	pale yellow	narrowly oblong, lanceolate	18-22				spring	 Cliffs and banks near sea	1200	Original				0.652173913
Aeonium_saundersii	1	0	<=30		1.2-3.5	0.7-1.3	elliptic, obovate	cymes	12-16					12-16	6-9	1.5-2.5	yellow	oblanceolate	24-32						150-800	Original				0.608695652
Aeonium_sedifolium	1	0	<=40		0.7-1.5	0.4-1	ovate, obovate	cymes	9-11					9-11	5-7	2-2.5	yellow	oblanceolate, obovate	18-22						1000	Original				0.608695652
Aeonium_simsii	1	0			2-6	0.6-2	lanceolate	cymes	7-9					7-9	5-6	1.2-1.8	yellow	oblanceolate	14-18						500-1900	Original				0.565217391
Aeonium_smithii	1	0	<=60		3-7	1.3-3	obtrullate	cymes	8-12					8-12	7-9	2-2.5	yellow	lanceolate	16-24						150-2150	Original				0.608695652
Aeonium_spathulatum	1	0	<=60		0.5-2.5	0.3-0.9	obovate-spatulate	cymes	8-10					8-10	4.5-6	1.5-2	yellow	elliptic	16-20						250-2500	Original				0.608695652
Aeonium_subplanum	1	0			6-35	3-12	obovate	cymes	10-12					10-12	7-10	2-2.5	greenish-yellow	lanceolate	20-24						200-1000	Original				0.565217391
Aeonium_tabuliforme	1	0			4-20	2-4	obovate, oblanceolate	cymes	7-9					7-9	6-7	1.5-2	pale yellow	elliptic	14-18						850	Original				0.565217391
Aeonium_undulatum	1	0	<=250		6-18	3-5	oblanceolate-spatulate, oblong-spatulate	cymes	9-12					9-12	6-8	1.2-1.5	yellow	lanceolate	18-24						300-1500	Original				0.608695652
Aeonium_urbicum	1	0	<=200		8-22	3-5.5	obovate-spatulate, oblanceolate-spatulate	cymes	8-10					8-10	7-10	1.2-2	whitish	lanceolate	16-20						1900	Original				0.608695652
Aeonium_vestitum	1	0	<=200		5-15	1.4-5	obovate, oblanceolate	cymes	9-11					9-11	5-7	1.5-2	yellow	narrowly oblong, lanceolate	18-22				spring	 Cliffs and banks near sea	1500	Original				0.652173913
Aeonium_virgineum	1	0			6-35	3-12	obovate, oblanceolate	cymes	6-9					6-9	7-8.5	1.5-2	yellowish-green	lanceolate	12-18						1000	Original				0.565217391
Aeonium_viscatum	1	0	<=50		2-4.5	0.6-1.6	obovate, obovate-spatulate	cymose panicles	7-9					7-9	5-7	1-1.5	yellow	lanceolate	14-18						100-900	Original				0.608695652
Aeonium_volkeri	1	0	<=60		3-5.5	1.5-3	obovate	cymes	7-9					7-9	7-9	1.2-1.8	pale yellow, whitish	lanceolate	14-18				spring	North-facing cliffs in canyons and above sea	1000	Original				0.652173913
Aichryson_bethencourtianum	1	0	<=15		1.2-1.8	0.6-1	obovate		8-9					8-9	5-6		deep yellow	elliptic								Original				0.47826087
Aichryson_bollei	1	0,1	24-35		2.5-3.5	1-2.2	ovate, trullate		7-8					7-8	4-5		pale yellow	lanceolate							1600	Original				0.47826087
Aichryson_dichotomum	1	0,1	20-40		2.5-6	1.5-3	ovate, trullate		6-7					6-7	6-8		deep yellow	lanceolate							400-1200	Original				0.47826087
Aichryson_divaricatum	1	0,1	10-30		1-3	0.8-2.4	ovate, trullate	corymboid	6-7					6-7	3-5		pale yellow	ovate							(100-)500-1000	Original				0.52173913
Aichryson_dumosum	1	0,1	15-30		1.2-1.8	0.3-0.5	oblanceolate	corymboid	6-7					6-7	4-5		bright yellow	ovate							300-400	Original				0.52173913
Aichryson_laxum	1	0,1	20-40		2.5-6	1.5-3	ovate, trullate		9-12					9-12	6-8		deep yellow	lanceolate							400-1200	Original				0.47826087
Aichryson_pachycaulon	1	0	20-35		2.5-6.5	2-3.5	rhombic, obtrullate		8-9					8-9	5-6		golden-yellow	lanceolate							600-1000	Original				0.47826087
Aichryson_palmense	1	0	<=20		2.5-4.5	2-3	widely ovate		8-9					8-9	6-7		pale yellow	lanceolate							300-800	Original				0.47826087
Aichryson_parlatorei	1	1	<=12		1.2-2.4	0.6-0.8	obtrullate		8-9					8-9	5-6		deep yellow	elliptic, obovate							30-1000	Original				0.47826087
Aichryson_porphyrogennetos	1	0	15-45	2	2.5-5	1.5-3.5	obtrullate		7-10					7-10	5-7		golden-yellow	broadly oblanceolate							600-1000	Original				0.52173913
Aichryson_punctatum	1	0,1	20-60		2-4	1.2-2.5	widely trullate, ovate	corymboid	7-9					7-9	6-7		deep yellow	lanceolate, ovate							100-1200	Original				0.52173913
Aichryson_tortuosum	1	0	<=15		1-1.2	0.4-0.6	obovate		7-8					7-8	5-6		deep yellow	elliptic							700	Original				0.47826087
Aichryson_villosum	1	1	8-18		1.2-2.4	0.8-1.8	widely obtrullate		7-8					7-8	5-7		deep yellow	lanceolate	14-16					rocks	1300	Original				0.52173913
